#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
all_genes.ffn	DBEBMLCA_00040	1	798	+	(Bla)blaOXA-48	1-798/798	===============	0/0	100.00	100.00	argannot	AY236073:2188-2985	(Bla)blaOXA-48	
all_genes.ffn	FLEKCFKN_00059	1	1200	+	(Tet)tetA	76-1275/1275	===============	0/0	94.12	100.00	argannot	JX424423:94438-95712	(Tet)tetA	
all_genes.ffn	FLEKCFKN_00060	28	678	+	(Tet)tetR	1-651/651	===============	0/0	100.00	100.00	argannot	HF545434:53576-54226	(Tet)tetR	
all_genes.ffn	FLEKCFKN_00063	1	600	+	AAC(6')-Ib-cr	1-600/600	===============	0/0	100.00	100.00	card	DQ303918:0-600	AAC(6')-Ib-cr is an aminoglycoside acetyltransferase encoded by plasmids transposons integrons in Enterobacteriaceae. The aac(6')-Ib-cr variant gene can induce resistance against aminoglycoside and fluoroquinolone simultaneously	aminoglycoside;fluoroquinolone
all_genes.ffn	FLEKCFKN_00064	46	876	+	(Bla)blaOXA-1	1-831/831	===============	0/0	100.00	100.00	argannot	JQ682867:1-831	(Bla)blaOXA-1	
all_genes.ffn	FLEKCFKN_00065	1	549	+	(Phe)catB4	1-549/549	===============	0/0	100.00	100.00	argannot	EU935739:59054-59602	(Phe)catB4	
all_genes.ffn	FLEKCFKN_00067	1	861	+	(AGly)aac3-IIa	1-861/861	===============	0/0	100.00	99.77	argannot	X51534:91-951	(AGly)aac3-IIa	
all_genes.ffn	FLEKCFKN_00074	1	876	+	(Bla)blaCTX-M-15	1-876/876	===============	0/0	100.00	100.00	argannot	JQ686199:261-1136	(Bla)blaCTX-M-15	
all_genes.ffn	LKPNGHOE_00008	1	840	+	(Sul)sul1	1-840/840	===============	0/0	100.00	100.00	argannot	AF071413:6700-7539	(Sul)sul1	
all_genes.ffn	LKPNGHOE_00010	1	855	+	ANT(3'')-IIa	118-972/972	.==============	0/0	87.96	100.00	card	X02340.1:222-1194	ANT(3'')-IIa is a aminoglycoside nucleotidyltransferase identified in Acinetobacter spp. via horizontal gene transfer mechanisms.	aminoglycoside
all_genes.ffn	LKPNGHOE_00016	1	660	+	(Phe)catA1	1-660/660	===============	0/0	100.00	99.85	argannot	V00622:244-903	(Phe)catA1	
all_genes.ffn	LKPNGHOE_00050	1	816	+	(AGly)aph(3'')-Ia	1-816/816	===============	0/0	100.00	100.00	argannot	FJ172370:38668-39483	(AGly)aph(3'')-Ia	
all_genes.ffn	LKPNGHOE_00054	1	1206	+	tet(B)	1-1206/1206	===============	0/0	100.00	100.00	ncbi	NG_048173.1	tetracycline efflux MFS transporter Tet(B)	TETRACYCLINE
all_genes.ffn	LKPNGHOE_00112	1	861	+	blaTEM-1A_1	1-861/861	===============	0/0	100.00	100.00	resfinder	HM749966	blaTEM-1A	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
all_genes.ffn	PAFOOMIB_00007	1	876	+	(Bla)blaCTX-M-14	1-876/876	===============	0/0	100.00	100.00	argannot	AF252622:1741-2616	(Bla)blaCTX-M-14	
